fold,test_mse,test_mae,test_r2,cazyme_test_mae,cazyme_test_r2,non_cazyme_test_mae,non_cazyme_test_r2,train_size,test_size
1,0.6851726596359372,0.6085041277111263,0.5558341991825635,0.3900572173216898,0.6801519757323817,0.6550210063326765,0.4692792584531923,6968,1743
2,0.6175191367268407,0.5755155644701792,0.5738700014635058,0.3267099051709584,0.7426064919633353,0.6284971453647941,0.47502801775342696,6968,1743
3,0.5725278681456485,0.5659664172322428,0.6183957093649048,0.38383244380369547,0.6874023435010763,0.604750687148134,0.5452297153695231,6968,1743
4,0.6721106840738758,0.5908372281003728,0.5381707659208725,0.3717464190087024,0.7012247051566725,0.6374912208505823,0.4298196342278985,6968,1743
5,0.5725798680320822,0.563132435601128,0.6111125892170897,0.3593762105860023,0.7052784013653333,0.6065210263141612,0.506309750672794,6968,1743
6,0.6155360294053143,0.5858148750308134,0.5784459797651973,0.3721815819909666,0.7202112545619386,0.6313067244881503,0.48522376864766414,6968,1743
7,0.6486397149645331,0.5883562093245446,0.5554462460828766,0.39954085803507966,0.6293150838653961,0.6285632361126979,0.466085506592411,6968,1743
8,0.603334767409521,0.5630662783474569,0.6002133565747286,0.2962614637061758,0.7930211179440086,0.6198806647637631,0.5068886230316442,6968,1743
9,0.6609660799253821,0.6011583317424738,0.5462881881174941,0.37098057714148164,0.6995072781437466,0.6501732189435201,0.44855624700569785,6968,1743
10,0.6441524765325161,0.5823667036213366,0.5728667353500942,0.3700718174241298,0.6723515144174449,0.627573547863748,0.47591035923417135,6968,1743
